value_id,attribute_id,entity_id,"value"
1161,88,471,"/t/f/tft51773-5.jpg"
1162,88,471,"/t/f/tft51773-6.jpg"
1163,88,471,"/t/f/tft51773-3.jpg"
1164,88,471,"/t/f/tft51773-4.jpg"
1165,88,471,"/t/f/tft51773-1.jpg"
1166,88,471,"/t/f/tft51773-7.jpg"
463720,88,436,"files//image/4719_16970.jpg"
463722,88,436,"files//thumbnail/4719_16970.jpg"
463723,88,436,"files//image_gallery_01/4719_16970.jpg"
463724,88,436,"files//image_gallery_02/4719_16979.jpg"
463725,88,437,"files//image/4721_16974.jpg"
463727,88,437,"files//thumbnail/4721_16974.jpg"
463728,88,437,"files//image_gallery_01/4721_16974.jpg"
463729,88,437,"files//image_gallery_02/4721_16975.jpg"
463730,88,437,"files//image_gallery_03/4721_16976.jpg"
463731,88,437,"files//image_gallery_04/4721_16977.jpg"
463732,88,438,"files//image/5705_19079.jpg"
463734,88,438,"files//thumbnail/5705_19079.jpg"
463735,88,438,"files//image_gallery_01/5705_19079.jpg"
463736,88,438,"files//image_gallery_02/5705_19080.jpg"
463737,88,438,"files//image_gallery_03/5705_19081.jpg"
463738,88,438,"files//image_gallery_04/5705_19082.jpg"
463739,88,439,"files//image/5707_19087.jpg"
463741,88,439,"files//thumbnail/5707_19087.jpg"
463742,88,439,"files//image_gallery_01/5707_19087.jpg"
463743,88,918,"files//image/5712_19094.jpg"
463745,88,918,"files//thumbnail/5712_19094.jpg"
463746,88,918,"files//image_gallery_01/5712_19094.jpg"
463747,88,919,"files//image/5713_19095.jpg"
463749,88,919,"files//thumbnail/5713_19095.jpg"
463750,88,919,"files//image_gallery_01/5713_19095.jpg"
463751,88,919,"files//image_gallery_02/5713_19096.jpg"
463752,88,920,"files//image/5714_19097.jpg"
463754,88,920,"files//thumbnail/5714_19097.jpg"
463755,88,920,"files//image_gallery_01/5714_19097.jpg"
463756,88,920,"files//image_gallery_02/5714_19098.jpg"
463757,88,921,"files//image/5715_19104.jpg"
463759,88,921,"files//thumbnail/5715_19104.jpg"
463760,88,921,"files//image_gallery_01/5715_19104.jpg"
463761,88,921,"files//image_gallery_02/5715_19105.jpg"
463762,88,922,"files//image/5717_19106.jpg"
463764,88,922,"files//thumbnail/5717_19106.jpg"
463765,88,922,"files//image_gallery_01/5717_19106.jpg"
463766,88,922,"files//image_gallery_02/5717_19107.jpg"
463767,88,440,"files//image/6183_20152.jpg"
463769,88,440,"files//thumbnail/6183_20152.jpg"
463770,88,440,"files//image_gallery_01/6183_20152.jpg"
463771,88,440,"files//image_gallery_02/6183_20153.jpg"
463772,88,441,"files//image/25472_112750.jpg"
463774,88,441,"files//thumbnail/25472_112750.jpg"
463775,88,441,"files//image_gallery_01/25472_112750.jpg"
463776,88,441,"files//image_gallery_02/25472_112751.jpg"
463777,88,441,"files//image_gallery_03/25472_112752.jpg"
463778,88,442,"files//image/38870_108725.jpg"
463780,88,442,"files//thumbnail/38870_108725.jpg"
463781,88,442,"files//image_gallery_01/38870_108725.jpg"
463782,88,442,"files//image_gallery_02/38870_108726.jpg"
463783,88,442,"files//image_gallery_03/38870_112753.jpg"
463784,88,443,"files//image/38871_108727.jpg"
463786,88,443,"files//thumbnail/38871_108727.jpg"
463787,88,443,"files//image_gallery_01/38871_108727.jpg"
463788,88,444,"files//image/38873_109317.jpg"
463790,88,444,"files//thumbnail/38873_109317.jpg"
463791,88,444,"files//image_gallery_01/38873_109317.jpg"
463792,88,444,"files//image_gallery_02/38873_206624.jpg"
463793,88,444,"files//image_gallery_03/38873_206625.jpg"
463794,88,445,"files//image/38875_108776.jpg"
463796,88,445,"files//thumbnail/38875_108776.jpg"
463797,88,445,"files//image_gallery_01/38875_108776.jpg"
463798,88,445,"files//image_gallery_02/38875_108777.jpg"
463799,88,446,"files//image/38876_108781.jpg"
463801,88,446,"files//thumbnail/38876_108781.jpg"
463802,88,446,"files//image_gallery_01/38876_108781.jpg"
463803,88,446,"files//image_gallery_02/38876_108782.jpg"
463804,88,447,"files//image/38898_112757.jpg"
463806,88,447,"files//thumbnail/38898_112757.jpg"
463807,88,447,"files//image_gallery_01/38898_112757.jpg"
463808,88,447,"files//image_gallery_02/38898_112758.jpg"
463809,88,447,"files//image_gallery_03/38898_112759.jpg"
463810,88,923,"files//image/38902_112761.jpg"
463812,88,923,"files//thumbnail/38902_112761.jpg"
463813,88,923,"files//image_gallery_01/38902_112761.jpg"
463814,88,923,"files//image_gallery_02/38902_112762.jpg"
463821,88,449,"files//image/42862_119031.jpg"
463823,88,449,"files//thumbnail/42862_119031.jpg"
463824,88,449,"files//image_gallery_01/42862_119031.jpg"
463825,88,449,"files//image_gallery_02/42862_119032.jpg"
463826,88,449,"files//image_gallery_03/42862_119033.jpg"
463848,88,453,"files//image/43260_120376.jpg"
463850,88,453,"files//thumbnail/43260_120376.jpg"
463851,88,453,"files//image_gallery_01/43260_120376.jpg"
463852,88,453,"files//image_gallery_02/43260_120377.jpg"
463853,88,453,"files//image_gallery_03/43260_157698.jpg"
463854,88,453,"files//image_gallery_04/43260_157699.jpg"
463855,88,454,"files//image/43262_120380.jpg"
463857,88,454,"files//thumbnail/43262_120380.jpg"
463858,88,454,"files//image_gallery_01/43262_120380.jpg"
463859,88,454,"files//image_gallery_02/43262_157136.jpg"
463860,88,454,"files//image_gallery_03/43262_157137.jpg"
463861,88,455,"files//image/43353_120691.jpg"
463863,88,455,"files//thumbnail/43353_120691.jpg"
463864,88,455,"files//image_gallery_01/43353_120691.jpg"
463865,88,455,"files//image_gallery_02/43353_120692.jpg"
463866,88,455,"files//image_gallery_03/43353_120693.jpg"
463867,88,455,"files//image_gallery_04/43353_157132.jpg"
463868,88,455,"files//image_gallery_05/43353_157133.jpg"
463869,88,456,"files//image/43357_120706.jpg"
463871,88,456,"files//thumbnail/43357_120706.jpg"
463872,88,456,"files//image_gallery_01/43357_120706.jpg"
463873,88,456,"files//image_gallery_02/43357_120707.jpg"
463874,88,456,"files//image_gallery_03/43357_120708.jpg"
463875,88,456,"files//image_gallery_04/43357_120709.jpg"
463876,88,456,"files//image_gallery_05/43357_120710.jpg"
463877,88,456,"files//image_gallery_06/43357_157138.jpg"
463878,88,457,"files//image/43638_121564.jpg"
463880,88,457,"files//thumbnail/43638_121564.jpg"
463881,88,457,"files//image_gallery_01/43638_121564.jpg"
463882,88,457,"files//image_gallery_02/43638_121565.jpg"
